,age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income>50K,age_10
48021,32,4,12,5,4,4,1,4,1,5,0,4,39,0,3
48024,39,4,15,1,0,12,1,4,1,10,0,4,39,0,3
48103,20,4,15,1,4,8,1,4,0,5,0,3,39,0,2
48130,29,4,8,2,2,12,0,4,1,8,0,4,39,0,2
48309,27,4,7,3,2,14,0,2,1,5,0,4,39,0,2
48367,61,4,11,15,2,10,0,4,1,9,0,4,39,1,6
48378,23,4,11,15,4,5,1,4,1,5,0,4,39,0,2
48408,22,4,15,1,4,8,3,4,0,5,0,2,39,0,2
48426,38,4,1,13,4,3,4,4,1,7,0,4,39,0,3
48427,23,4,9,4,4,12,1,4,0,5,2,5,39,0,2
48450,46,6,14,6,2,10,0,4,1,1,0,3,5,1,4
48482,49,6,11,15,2,4,0,4,1,9,0,4,39,0,4
48670,33,5,11,15,2,14,0,4,1,5,0,5,39,0,3
48751,29,4,9,4,4,6,1,4,1,5,0,3,39,0,2
48791,66,4,11,15,6,12,2,4,0,5,0,0,39,0,6
48806,48,2,12,5,0,8,1,4,1,5,0,4,39,0,4
5,37,4,12,5,2,4,5,4,0,5,0,4,39,0,3
10,37,4,15,1,2,4,0,2,1,5,0,8,39,1,3
44,25,4,11,15,4,6,1,4,1,5,0,3,39,0,2
81,52,4,9,4,2,8,0,4,1,5,0,4,5,0,5
91,37,4,15,1,0,3,4,4,0,5,0,4,39,0,3
125,47,4,9,4,2,4,5,4,0,5,0,4,39,1,4
183,40,4,5,10,2,7,0,4,1,5,0,4,26,1,4
279,24,4,15,1,2,7,5,4,0,13,0,4,39,1,2
298,24,4,11,15,4,3,3,4,1,5,0,4,39,0,2
392,46,6,7,3,5,3,1,4,1,5,0,4,39,0,4
402,50,7,9,4,2,11,0,4,1,5,0,4,39,1,5
429,47,2,12,5,2,10,0,4,1,5,0,4,39,0,4
436,34,2,11,15,4,5,1,2,1,6,0,6,39,0,3
446,44,4,11,15,6,4,4,2,0,5,0,4,39,0,4
461,54,2,11,15,2,14,0,2,1,5,0,4,39,0,5
472,35,4,11,15,4,3,1,4,1,5,0,4,39,0,3
475,46,4,9,4,4,3,1,4,0,5,0,4,39,0,4
477,22,4,15,1,4,6,3,4,1,5,0,3,39,0,2
487,59,2,11,15,2,14,0,4,1,5,0,4,39,0,5
578,58,2,9,4,4,10,1,4,0,5,0,4,39,0,5
639,52,6,10,7,2,10,0,4,1,5,0,6,39,1,5
654,27,4,11,15,4,7,3,4,0,5,0,3,39,0,2
739,42,4,9,4,2,13,0,4,1,5,0,4,39,1,4
756,54,4,11,15,2,14,0,4,1,5,0,4,39,1,5
765,32,4,0,12,5,8,4,4,0,5,0,4,39,0,3
773,37,4,8,2,2,13,5,4,0,5,0,2,39,1,3
775,23,2,8,2,0,13,1,4,1,5,0,5,39,0,2
779,54,4,15,1,4,13,1,4,1,5,0,4,39,0,5
832,26,4,15,1,4,6,3,4,1,5,0,4,39,0,2
862,48,4,1,13,2,4,0,4,1,5,0,5,39,0,4
874,55,4,4,9,0,8,4,2,1,5,0,2,39,0,5
911,38,4,15,1,0,3,1,4,1,5,0,4,39,0,3
962,32,4,9,4,2,3,0,4,1,5,0,7,26,0,3
981,22,4,7,3,4,1,1,4,0,5,0,4,39,0,2
994,35,4,11,15,4,4,1,4,1,5,0,4,39,0,3
1038,34,4,11,15,0,9,4,2,0,5,0,3,39,0,3
1060,43,6,11,15,2,4,0,4,1,5,0,3,39,0,4
1110,35,5,12,5,2,12,0,4,1,5,0,4,26,1,3
1119,53,4,9,4,2,10,0,1,1,5,0,4,24,0,5
1161,51,4,11,15,6,14,4,4,1,5,0,4,39,0,5
1179,24,2,1,13,4,8,1,1,1,5,0,4,39,0,2
1252,30,4,11,15,2,1,0,4,1,5,0,4,0,0,3
1292,39,4,11,15,2,14,0,4,1,5,0,6,39,0,3
1293,46,4,12,5,2,10,0,2,1,5,0,3,39,0,4
1295,26,4,4,9,2,3,0,4,1,5,2,5,39,0,2
1310,45,1,9,4,2,4,0,4,1,5,0,4,39,0,4
1329,29,4,1,13,4,8,4,2,0,5,0,4,39,0,2
1391,40,2,5,10,2,3,0,2,1,5,2,4,0,1,4
1488,57,1,11,15,0,1,4,4,0,5,0,4,39,0,5
1504,60,0,12,5,2,0,0,4,1,5,0,4,39,0,6
1517,59,4,9,4,2,1,5,4,0,8,0,3,39,0,5
1636,27,4,0,12,0,8,1,4,0,5,0,4,39,0,2
1641,42,4,9,4,2,10,0,4,1,5,0,4,39,1,4
1693,53,7,11,15,2,4,5,4,0,1,0,4,39,1,5
1775,31,4,0,12,2,7,0,4,1,5,0,4,39,0,3
1820,25,4,5,10,2,6,0,4,1,5,0,4,26,0,2
1828,19,4,15,1,4,12,3,4,0,5,0,3,39,0,1
1880,24,4,11,15,4,8,4,4,1,5,0,4,8,0,2
1924,27,4,9,4,4,12,3,4,0,5,0,4,39,0,2
2052,18,4,1,13,4,8,2,2,1,5,0,2,39,0,1
2145,25,6,11,15,2,3,0,4,1,5,0,4,39,0,2
2170,38,4,11,15,2,3,0,4,1,5,0,5,39,0,3
2267,32,2,11,15,4,14,4,2,0,5,0,3,39,0,3
2293,52,4,15,1,2,3,0,4,1,5,0,4,39,1,5
2332,23,6,1,13,2,14,0,4,1,13,0,6,39,1,2
2427,20,0,15,1,4,0,3,4,1,5,0,3,39,0,2
2461,26,6,7,3,4,3,1,4,1,5,0,4,39,0,2
2512,47,4,9,4,2,1,0,1,1,5,0,4,0,1,4
2537,34,4,15,1,4,12,1,4,1,5,0,6,39,0,3
2656,18,4,11,15,4,12,3,4,0,5,0,2,39,0,1
2658,49,4,11,15,2,14,0,4,1,5,0,5,39,0,4
2661,39,4,11,15,2,3,0,2,1,5,0,4,39,0,3
2672,38,4,14,6,4,10,1,4,1,5,0,5,39,0,3
2674,23,4,5,10,4,8,1,4,1,5,0,2,26,0,2
2711,19,4,15,1,4,7,2,4,1,5,0,5,39,0,1
2722,19,4,1,13,4,6,3,4,1,5,0,4,26,0,1
2729,21,4,11,15,4,8,3,4,1,5,0,3,39,0,2
2748,32,4,15,1,2,14,0,4,1,5,0,5,39,0,3
2864,29,4,15,1,2,12,5,4,0,5,0,2,39,0,2
2957,49,2,12,5,5,10,4,4,0,5,0,5,39,0,4
3048,53,6,15,1,2,5,0,4,1,5,0,3,39,0,5
3066,20,4,15,1,4,14,3,4,1,5,0,3,39,0,2
3100,39,4,11,15,2,7,0,4,1,5,0,4,39,0,3
3161,21,4,11,15,4,3,3,2,1,5,0,4,39,0,2
3203,39,4,9,4,2,12,5,4,0,5,0,3,39,0,3
3219,59,4,1,13,0,1,4,4,0,5,0,4,39,0,5
3248,46,5,9,4,2,12,0,4,1,5,0,4,39,0,4
3249,38,4,9,4,2,4,0,4,1,5,2,5,39,1,3
3267,37,4,11,15,2,10,0,4,1,5,0,4,39,1,3
3283,40,4,11,15,5,8,2,4,0,5,0,2,39,0,4
3337,46,4,9,4,2,4,0,4,1,5,0,5,39,1,4
3363,36,4,15,1,2,4,0,4,1,5,0,4,39,0,3
3428,46,5,15,1,2,12,0,4,1,5,0,6,39,0,4
3501,31,4,9,4,4,10,4,4,0,5,0,3,39,0,3
3510,55,4,11,15,6,12,1,4,0,5,0,3,39,0,5
3531,32,0,11,15,0,0,4,4,0,5,0,2,39,0,3
3566,24,4,9,4,4,10,1,4,1,5,0,4,39,0,2
3568,38,4,11,15,2,7,0,4,1,5,0,4,39,1,3
3653,31,4,11,15,0,3,3,4,1,5,0,5,39,0,3
3702,26,4,11,15,4,3,1,2,1,5,0,4,39,0,2
3716,44,4,9,4,2,4,0,2,1,5,0,5,39,1,4
3848,28,4,15,1,5,13,4,4,1,5,0,4,39,1,2
3953,44,4,15,1,2,14,0,2,1,5,0,4,39,0,4
4066,36,6,11,15,2,8,5,1,0,5,0,2,35,0,3
4091,33,4,11,15,0,3,1,4,1,5,3,8,39,0,3
4108,23,4,9,4,4,12,1,1,1,5,0,5,36,0,2
4134,38,4,11,15,0,1,4,4,0,5,0,4,39,0,3
4175,49,5,11,15,5,8,1,4,1,5,0,4,39,0,4
4182,67,4,11,15,2,12,0,4,1,5,0,4,2,1,6
4218,24,4,0,12,4,12,1,4,1,5,0,4,8,0,2
4268,36,4,11,15,4,14,1,4,1,5,0,4,39,0,3
4312,35,4,14,6,2,10,0,4,1,5,0,8,39,1,3
4315,56,0,15,1,2,0,0,4,1,5,0,4,27,0,5
4317,40,4,9,4,5,1,4,2,1,5,0,3,39,0,4
4397,54,4,9,4,4,10,1,4,0,5,0,5,39,0,5
4441,43,5,14,6,2,10,0,2,1,5,0,9,39,1,4
4461,20,4,15,1,4,8,3,4,1,5,0,2,39,0,2
4505,39,4,7,3,4,14,1,2,1,5,0,6,39,0,3
4626,24,6,15,1,5,6,3,4,1,5,0,4,39,0,2
4634,41,4,15,1,2,13,0,2,1,9,0,4,39,0,4
4651,36,4,11,15,2,4,0,4,1,5,0,4,39,0,3
4656,37,2,7,3,2,10,5,2,0,4,0,4,0,1,3
4683,27,1,7,3,4,14,1,2,1,5,0,4,39,0,2
4777,22,4,15,1,4,12,1,4,1,5,0,2,39,0,2
4783,19,4,15,1,4,6,3,4,1,5,0,1,39,0,1
4802,25,4,11,15,2,7,0,4,1,5,0,4,39,0,2
4805,51,1,10,7,4,10,1,4,0,5,2,7,39,1,5
4843,37,1,15,1,2,3,0,4,1,5,0,4,39,0,3
4882,26,4,15,1,4,12,1,4,1,5,0,4,39,0,2
4924,28,0,9,4,4,0,1,4,1,5,0,1,39,0,2
4938,28,7,11,15,2,1,3,4,0,5,0,4,39,0,2
4973,56,4,14,6,2,10,0,4,1,5,0,4,39,1,5
5005,19,4,1,13,4,8,1,4,1,5,0,4,39,0,1
5024,57,5,11,15,2,12,0,4,1,5,0,4,5,0,5
5083,41,4,11,15,4,12,1,2,0,5,0,6,39,0,4
5093,33,4,11,15,0,7,1,4,0,5,0,4,39,0,3
5153,54,6,15,1,0,5,4,4,0,0,0,3,39,1,5
5277,23,5,9,4,0,12,1,4,0,5,0,4,39,0,2
5329,53,4,9,4,4,4,3,4,1,5,0,4,5,0,5
5427,53,4,9,4,0,12,1,4,0,0,0,4,39,1,5
5493,26,4,11,15,4,1,1,4,0,5,0,4,39,0,2
5495,53,1,12,5,2,1,0,4,1,5,0,4,39,1,5
5498,25,4,9,4,2,12,0,4,1,5,0,5,39,0,2
5549,51,2,11,15,5,11,1,2,1,5,0,4,39,0,5
5559,64,0,5,10,6,0,1,4,0,5,0,4,39,0,6
5563,18,0,0,12,4,0,2,4,0,5,0,3,39,0,1
5663,72,4,3,8,0,8,1,2,1,5,0,4,39,0,7
5699,56,4,11,15,2,3,0,4,1,8,0,4,39,0,5
5722,21,4,15,1,4,6,3,4,1,5,0,1,39,0,2
5741,60,6,5,10,2,3,0,4,1,5,0,4,39,0,6
5808,25,4,6,11,2,7,0,4,1,5,0,4,26,0,2
5818,37,6,15,1,2,4,0,4,1,5,0,6,39,0,3
5849,36,4,11,15,4,1,3,2,1,5,0,4,39,0,3
5913,29,4,9,4,4,4,1,4,0,5,0,4,39,0,2
5914,73,0,1,13,2,0,0,4,1,5,0,0,39,0,7
6031,41,4,9,4,2,1,0,4,1,5,0,4,39,0,4
6063,45,6,11,15,2,4,0,1,1,5,0,4,3,0,4
6069,57,6,0,12,2,3,0,4,1,5,0,0,39,0,5
6123,40,4,9,4,4,13,1,1,0,5,3,4,30,0,4
6206,35,1,12,5,4,4,1,4,1,14,0,4,39,1,3
6211,36,6,11,15,2,5,0,4,1,5,2,6,39,1,3
6275,38,2,11,15,0,11,1,4,1,5,0,5,39,0,3
6311,50,4,9,4,0,4,1,4,1,5,0,5,39,1,5
6350,44,1,7,3,2,3,0,4,1,5,0,4,39,1,4
6427,41,4,12,5,2,4,0,4,1,1,0,7,39,1,4
6511,29,4,9,4,2,12,0,4,1,5,0,4,39,1,2
6585,22,4,11,15,4,8,2,4,1,5,0,4,39,0,2
6590,66,4,11,15,6,12,1,4,0,5,0,4,39,0,6
6591,19,4,15,1,4,12,3,4,1,5,0,3,39,0,1
6618,26,4,4,9,2,5,0,4,1,5,0,3,26,0,2
6657,46,4,11,15,2,12,0,4,1,11,0,5,39,0,4
6681,25,4,0,12,2,3,0,4,1,5,0,4,39,0,2
6682,30,6,11,15,4,12,4,4,1,5,0,6,39,0,3
6683,19,4,15,1,4,1,3,4,1,5,0,2,39,0,1
6824,68,4,1,13,0,14,1,4,1,5,0,7,39,0,6
6862,54,4,13,0,2,5,0,4,1,5,0,6,39,0,5
6915,24,4,9,4,4,8,3,4,0,5,0,3,39,0,2
6950,46,5,8,2,0,4,4,1,0,5,0,6,37,0,4
6955,47,1,7,3,2,1,0,2,1,5,0,4,39,1,4
6969,39,4,15,1,2,3,0,2,1,5,0,5,39,1,3
6978,29,2,12,5,2,10,0,4,1,5,0,5,39,0,2
6998,29,4,10,7,2,10,0,4,1,5,0,5,39,1,2
7044,47,4,15,1,2,3,0,4,1,5,0,4,39,0,4
7057,45,4,11,15,6,8,2,1,0,5,0,5,35,0,4
7074,30,4,9,4,4,1,1,4,0,5,0,4,39,0,3
7086,50,5,15,1,2,3,0,4,1,5,0,7,39,0,5
7115,47,4,11,15,2,12,0,4,1,13,0,4,39,1,4
7141,42,5,10,7,2,10,0,4,1,5,2,6,39,1,4
7154,36,4,11,15,4,12,4,4,1,5,0,6,39,1,3
7160,42,1,11,15,0,1,1,2,1,5,0,4,39,0,4
7241,36,2,9,4,4,1,1,2,0,5,0,4,39,0,3
7314,23,4,15,1,4,1,1,4,1,5,0,2,39,0,2
7339,49,2,15,1,2,11,0,4,1,5,0,4,39,0,4
7343,20,4,15,1,4,7,1,1,0,5,0,4,0,0,2
7370,26,4,15,1,2,11,0,4,1,5,0,4,39,0,2
7485,33,4,8,2,2,7,0,4,1,5,0,5,39,0,3
7530,39,2,12,5,2,10,0,4,1,5,0,4,39,1,3
7577,41,0,9,4,2,0,5,4,0,5,0,3,39,1,4
7773,36,6,15,1,2,5,0,4,1,9,0,0,39,0,3
7775,39,4,10,7,2,4,0,4,1,5,0,4,39,1,3
7777,17,4,1,13,4,8,3,4,0,5,0,1,39,0,1
7781,26,6,8,2,2,5,0,4,1,5,0,5,39,0,2
7847,24,4,15,1,4,8,1,4,0,5,0,4,39,0,2
7895,30,4,11,15,2,7,0,2,1,5,0,4,39,0,3
7904,39,5,9,4,2,4,0,4,1,13,0,4,39,1,3
7917,30,4,11,15,2,3,0,4,1,5,0,5,39,0,3
7926,44,4,15,1,4,1,3,2,0,5,0,4,39,0,4
7941,19,4,15,1,4,8,1,4,1,5,0,3,39,0,1
7966,58,4,15,1,2,4,0,4,1,13,0,4,39,1,5
7971,31,6,9,4,2,1,5,4,0,5,0,2,39,0,3
8017,23,4,15,1,4,6,3,4,1,5,0,3,5,0,2
8116,42,4,9,4,0,4,4,4,0,5,0,4,39,0,4
8254,50,4,15,1,2,3,0,4,1,5,2,3,39,1,5
8303,58,4,6,11,0,8,4,4,0,5,0,4,39,0,5
8389,21,2,2,14,4,8,3,2,1,5,0,2,39,0,2
8603,21,4,15,1,4,14,3,4,1,5,0,5,39,0,2
8607,59,2,12,5,0,10,1,4,0,5,0,4,39,0,5
8622,32,4,9,4,4,4,1,4,0,5,0,4,39,0,3
8643,34,6,1,13,2,7,0,4,1,5,0,4,39,0,3
8645,25,4,8,2,4,13,4,2,0,5,0,4,39,0,2
8773,20,4,13,0,4,8,3,4,1,5,0,3,39,0,2
8786,18,0,15,1,4,0,3,4,0,5,2,2,39,0,1
8905,39,4,15,1,4,1,3,4,0,5,0,2,39,0,3
8912,35,4,15,1,2,12,0,4,1,5,0,5,39,1,3
8915,47,4,11,15,2,3,0,4,1,5,0,4,39,0,4
9102,38,4,9,4,4,5,1,4,1,5,0,4,39,0,3
9122,33,6,11,15,2,5,0,4,1,5,0,9,39,0,3
9140,70,4,11,15,2,6,0,4,1,5,3,4,39,1,7
9169,26,4,15,1,4,1,1,4,1,5,0,4,39,0,2
9188,40,4,11,15,2,7,0,4,1,5,0,4,39,0,4
9189,36,4,15,1,2,4,0,4,1,5,0,4,39,0,3
9211,24,0,9,4,4,0,3,4,1,5,0,4,39,0,2
9249,41,4,4,9,2,8,0,3,1,5,2,4,27,0,4
9369,58,4,9,4,2,10,0,4,1,5,0,4,39,1,5
9388,42,4,15,1,2,14,0,4,1,5,0,5,39,0,4
9390,38,4,11,15,2,3,0,4,1,5,0,4,39,1,3
9420,24,4,11,15,4,4,3,4,1,5,0,4,39,0,2
9495,70,6,11,15,6,8,2,4,0,8,0,2,39,0,7
9508,19,4,15,1,4,6,3,4,1,5,0,2,39,0,1
9548,37,4,11,15,4,6,4,4,0,9,0,4,27,0,3
9610,55,4,9,4,2,12,0,4,1,1,0,5,39,1,5
9624,41,4,4,9,2,5,5,4,0,5,0,4,26,0,4
9637,33,4,10,7,2,10,0,4,1,5,0,4,39,0,3
9640,64,6,15,1,2,12,0,4,1,5,0,2,39,0,6
9785,36,6,11,15,2,3,0,4,1,8,0,4,39,0,3
9815,52,1,11,15,2,1,0,4,1,5,0,4,39,0,5
9839,46,5,9,4,2,12,0,4,1,5,0,7,39,1,4
9870,47,2,12,5,2,4,0,4,1,5,2,4,39,1,4
9873,27,4,15,1,0,8,1,4,1,5,0,4,39,0,2
9960,20,4,15,1,4,10,1,4,0,5,0,2,39,0,2
9976,47,2,12,5,4,10,1,4,1,5,0,4,39,0,4
10039,33,5,10,7,2,10,0,4,1,5,0,4,5,1,3
10073,24,4,15,1,4,1,1,2,1,5,0,2,39,0,2
10076,57,4,9,4,2,4,0,4,1,5,0,5,39,1,5
10207,90,6,15,1,2,5,0,4,1,5,0,4,39,0,9
10246,19,4,11,15,4,1,3,4,1,5,0,4,39,0,1
10262,24,4,9,4,4,10,1,4,1,5,0,4,39,0,2
10266,40,6,14,6,2,10,0,0,1,5,2,6,39,1,4
10297,23,4,11,15,4,14,3,4,1,5,0,4,39,0,2
10309,48,4,15,1,5,8,1,4,0,5,0,2,29,0,4
10315,35,1,15,1,2,11,0,2,1,5,0,4,39,1,3
10354,33,4,15,1,2,8,5,4,0,5,0,2,39,0,3
10369,24,4,15,1,4,7,1,4,1,5,0,3,39,0,2
10391,56,4,12,5,4,10,1,4,1,5,0,6,39,0,5
10406,39,4,9,4,2,4,0,4,1,5,0,4,39,1,3
10465,44,6,12,5,4,5,3,4,1,5,0,9,39,0,4
10484,27,4,11,15,2,10,0,4,1,5,2,4,39,1,2
10536,22,0,15,1,4,0,1,2,0,5,0,2,39,0,2
10538,19,4,15,1,4,4,1,4,1,5,0,4,39,0,1
10549,24,4,9,4,2,10,0,4,1,5,0,4,39,0,2
10598,35,4,11,15,2,14,0,4,1,5,0,5,39,0,3
10600,20,4,1,13,4,3,1,2,1,5,0,2,39,0,2
10735,36,4,15,1,2,14,0,4,1,5,0,4,39,0,3
10753,25,4,0,12,4,6,3,2,1,5,2,4,39,0,2
10776,23,4,15,1,4,4,3,4,1,5,0,3,39,0,2
10790,67,4,15,1,2,14,0,4,1,0,0,1,39,1,6
10806,25,4,6,11,2,7,0,4,1,5,0,4,26,0,2
10832,30,4,9,4,2,8,5,1,0,5,0,4,30,0,3
10887,23,4,11,15,4,12,1,4,0,5,0,4,39,0,2
10894,27,4,1,13,4,3,2,4,1,5,0,6,39,0,2
10922,22,4,8,2,4,3,3,4,1,5,0,4,39,0,2
10987,30,4,15,1,4,6,1,4,1,5,0,4,39,0,3
11035,30,4,9,4,4,8,1,4,1,5,0,4,39,0,3
11085,41,6,8,2,0,12,1,4,1,5,0,6,39,0,4
11089,40,4,9,4,2,10,0,4,1,5,0,4,39,1,4
11112,47,4,11,15,5,3,4,2,0,5,0,4,39,0,4
11197,37,1,11,15,2,1,0,4,1,5,0,5,39,1,3
11214,32,0,7,3,4,0,4,4,1,5,0,2,39,0,3
11238,46,4,11,15,4,3,3,4,1,5,0,4,39,0,4
11243,27,1,15,1,2,13,0,4,1,5,0,4,39,1,2
11337,30,0,4,9,2,0,0,4,1,5,0,4,26,0,3
11364,43,4,7,3,4,1,1,2,0,5,0,4,39,0,4
11421,29,4,15,1,2,6,0,4,1,5,0,4,39,0,2
11462,49,4,11,15,2,3,0,4,1,5,0,4,39,1,4
11472,28,2,15,1,2,4,0,4,1,5,0,6,39,0,2
11493,22,4,15,1,4,6,3,2,1,5,0,1,39,0,2
11574,50,4,9,4,0,4,1,4,1,5,0,5,39,1,5
11599,36,4,1,13,5,7,1,2,1,5,0,4,39,0,3
11640,23,4,15,1,4,12,1,4,0,5,2,4,39,0,2
11642,23,2,9,4,4,10,1,4,1,5,0,4,39,0,2
11657,41,7,12,5,4,1,1,2,0,5,0,4,39,0,4
11670,42,4,12,5,2,10,0,4,1,5,0,4,39,1,4
11674,35,6,11,15,2,5,0,4,1,5,0,3,39,0,3
11713,44,4,9,4,2,4,0,2,1,5,2,4,39,1,4
11723,17,4,1,13,4,7,3,3,1,5,0,1,39,0,1
11790,36,4,9,4,0,12,3,4,0,5,0,4,39,0,3
11791,22,4,11,15,4,5,1,4,1,5,0,5,39,0,2
11839,26,4,11,15,4,3,3,4,1,5,0,4,39,0,2
11840,31,4,11,15,4,4,1,4,1,9,0,4,39,0,3
11862,45,4,9,4,0,10,4,4,0,5,0,4,39,1,4
11867,40,4,11,15,2,14,0,4,1,5,0,3,39,0,4
11888,23,4,11,15,4,3,3,4,1,5,0,4,4,0,2
11946,35,4,11,15,0,3,1,4,1,5,0,4,39,0,3
11949,27,4,11,15,0,4,4,4,0,5,0,4,39,0,2
12071,47,4,8,2,2,8,0,4,1,5,0,2,39,0,4
12124,45,5,11,15,2,3,0,4,1,5,0,4,39,0,4
12218,34,6,1,13,2,3,0,4,1,5,0,4,39,0,3
12310,26,2,9,4,2,10,5,2,0,5,0,4,39,1,2
12390,50,7,10,7,2,10,0,4,1,5,2,4,39,1,5
12412,57,4,8,2,4,3,1,4,1,5,0,4,39,1,5
12449,20,4,11,15,2,6,0,3,1,5,0,4,39,0,2
12545,18,4,15,1,4,1,1,4,1,5,0,4,39,0,1
12603,17,4,1,13,4,9,3,4,0,5,0,4,39,0,1
12607,39,4,15,1,5,1,4,2,0,5,0,4,39,0,3
12730,18,4,15,1,4,12,3,2,0,5,0,2,39,0,1
12743,30,4,15,1,4,12,1,4,0,5,0,4,39,0,3
12759,20,4,15,1,4,8,1,4,1,5,0,4,39,0,2
12795,52,4,11,15,0,7,1,4,0,5,0,3,39,0,5
12805,44,4,15,1,2,8,3,4,0,5,0,4,39,1,4
12912,19,4,15,1,4,1,3,4,0,5,0,2,39,0,1
12943,25,4,15,1,4,4,3,2,1,5,0,4,39,0,2
12968,22,6,15,1,4,10,3,4,0,5,0,0,39,0,2
12999,64,7,11,15,6,1,1,4,0,5,0,2,39,0,6
13030,32,4,11,15,1,8,2,4,0,5,0,1,39,0,3
13033,50,4,5,10,2,7,0,2,1,5,0,4,39,0,5
13039,17,0,6,11,4,0,3,4,0,5,0,2,26,0,1
13210,22,2,9,4,4,10,3,4,0,5,0,3,39,0,2
13228,40,1,12,5,2,10,0,4,1,5,0,4,39,1,4
13257,41,4,11,15,2,10,0,4,1,5,2,4,39,1,4
13272,26,4,11,15,2,12,0,2,1,5,0,3,39,0,2
13469,51,4,11,15,6,10,4,4,0,5,0,3,39,0,5
13581,18,0,1,13,4,0,3,4,1,5,0,2,39,0,1
13607,27,4,11,15,4,7,3,4,0,5,0,4,39,0,2
13727,44,4,15,1,2,1,5,4,0,5,0,3,39,0,4
13748,24,1,15,1,0,1,4,2,0,5,0,2,39,0,2
13835,34,4,7,3,2,12,0,2,1,5,2,5,39,1,3
13858,49,6,15,1,2,4,0,4,1,5,0,6,39,0,4
13972,52,2,15,1,2,14,0,2,1,5,0,4,39,0,5
14009,20,4,15,1,4,8,3,4,1,5,0,4,39,0,2
14195,24,4,11,15,4,6,1,4,1,5,0,4,39,0,2
14282,55,2,0,12,2,3,0,4,1,5,0,4,39,0,5
14374,39,5,12,5,4,10,1,4,0,5,0,4,39,0,3
14377,28,6,11,15,4,7,2,2,1,5,0,3,39,0,2
14483,24,4,9,4,4,1,2,1,0,5,0,4,36,0,2
14497,27,4,4,9,4,9,1,4,0,5,0,6,9,0,2
14504,34,4,11,15,4,14,1,2,1,5,0,8,39,0,3
14602,20,4,15,1,4,8,3,4,0,5,0,2,39,0,2
14618,32,4,11,15,2,7,0,4,1,5,0,4,39,0,3
14629,39,4,15,1,0,4,4,4,0,5,0,4,26,0,3
14630,27,7,12,5,4,10,1,4,1,5,0,4,39,0,2
14677,26,1,15,1,2,1,0,2,1,5,0,4,39,0,2
14700,54,4,0,12,5,12,4,4,0,5,0,4,22,0,5
14750,20,4,15,1,4,1,3,4,0,8,0,2,39,0,2
14756,39,4,9,4,2,1,0,4,1,5,0,4,39,1,3
14834,43,1,12,5,2,11,0,4,1,5,0,3,39,1,4
14868,43,4,7,3,2,12,0,2,1,5,0,6,39,0,4
14900,55,4,1,13,0,12,3,4,0,5,0,2,39,0,5
14905,32,4,8,2,2,1,0,4,1,5,0,4,22,0,3
14909,34,4,9,4,4,12,1,4,0,5,0,4,39,0,3
14924,47,4,15,1,2,4,0,4,1,5,0,4,39,1,4
14939,35,6,11,15,2,3,0,4,1,5,0,4,39,0,3
14942,21,4,15,1,4,8,4,4,0,5,0,3,39,0,2
15046,35,4,15,1,2,12,0,4,1,5,0,4,39,0,3
15083,38,4,9,4,2,12,0,4,1,5,0,5,39,1,3
15095,51,6,7,3,2,12,0,4,1,9,0,3,39,1,5
15114,31,7,15,1,2,1,0,4,1,5,0,3,39,0,3
15243,41,4,11,15,4,12,4,2,0,5,0,4,39,0,4
15247,31,4,12,5,2,4,0,4,1,5,3,7,36,1,3
15249,30,4,11,15,5,7,1,2,1,5,0,4,39,0,3
15285,44,4,5,10,2,3,0,4,1,5,0,4,39,0,4
15286,22,0,11,15,4,0,4,2,1,5,0,4,39,0,2
15287,25,4,1,13,3,6,1,4,1,5,0,4,26,0,2
15330,28,4,0,12,4,7,4,4,0,5,0,4,39,0,2
15420,34,0,12,5,4,0,1,4,1,10,0,3,39,0,3
15425,33,4,15,1,2,14,0,2,1,5,0,5,39,1,3
15428,29,4,7,3,0,12,4,4,0,9,0,4,39,0,2
15439,24,4,9,4,4,1,3,4,1,5,0,3,39,0,2
15500,36,4,15,1,0,8,4,4,0,5,0,4,39,0,3
15556,33,2,9,4,4,13,1,2,1,5,2,5,39,1,3
15577,36,4,7,3,5,8,4,2,0,5,0,3,39,0,3
15742,56,4,11,15,2,1,0,4,1,5,0,4,39,0,5
15773,53,7,11,15,0,4,1,4,1,5,2,4,39,0,5
15809,23,4,11,15,2,7,0,2,1,5,0,4,39,0,2
15811,52,4,15,1,2,3,0,4,1,5,0,4,39,1,5
15817,21,4,15,1,4,3,1,4,1,5,0,4,39,0,2
15827,23,4,15,1,4,12,3,4,0,5,0,4,39,0,2
15892,19,4,2,14,4,6,3,2,0,5,0,5,39,0,1
15920,37,4,9,4,4,3,1,4,1,5,0,4,39,0,3
15930,27,4,15,1,4,1,3,4,0,5,0,4,39,0,2
15931,34,7,11,15,4,8,3,2,1,5,0,4,39,0,3
15941,29,2,15,1,2,14,0,4,1,5,0,4,39,0,2
15943,41,4,5,10,2,5,0,4,1,5,0,3,39,0,4
15978,54,2,11,15,2,5,0,4,1,5,0,4,39,0,5
15984,19,6,6,11,4,10,1,4,1,5,0,3,26,0,1
16023,26,7,9,4,4,10,1,4,0,5,0,6,39,0,2
16026,37,4,15,1,2,3,0,4,1,11,0,7,39,1,3
16089,35,4,11,15,4,7,3,4,1,5,0,4,39,0,3
